"topic","weight","doc"
25,0.6894,28044
25,0.6894,29530
25,0.6871,37420
25,0.6845,14272
25,0.6845,20669
25,0.6833,24479
25,0.6802,13372
25,0.6778,5149
25,0.6778,8331
25,0.6778,14008
25,0.6778,21731
25,0.6778,25029
25,0.6778,37356
25,0.6775,31874
25,0.6759,10980
25,0.6759,30226
25,0.6736,16401
26,0.8626,30197
26,0.8465,3035
26,0.8333,8194
26,0.8284,9861
26,0.799,9899
26,0.799,17215
26,0.7899,22262
26,0.7883,2439
26,0.784,8749
26,0.7695,31141
26,0.7694,6555
26,0.7626,4704
26,0.7583,16129
26,0.7581,22011
26,0.7558,3182
26,0.7552,34228
26,0.7551,34785
26,0.7479,5550
26,0.7473,3310
26,0.7438,9730
26,0.7433,18399
26,0.7412,2670
26,0.7381,36897
26,0.7372,8223
26,0.7315,5686
26,0.7299,11820
26,0.7299,22298
26,0.724,18917
26,0.724,11714
26,0.7201,5204
26,0.719,30896
26,0.7167,1212
26,0.716,13069
26,0.7153,7018
26,0.7147,19832
26,0.7118,5238
26,0.7114,934
26,0.7114,526
26,0.7099,1934
26,0.7083,30967
26,0.7013,2420
26,0.6993,3844
26,0.6991,23027
26,0.6954,2756
26,0.6954,4351
26,0.6927,17155
26,0.6927,9335
26,0.6927,16458
26,0.6894,3404
26,0.6871,5984
27,0.7735,10126
27,0.7703,10376
27,0.7626,21786
27,0.7568,26967
27,0.7482,20920
27,0.7464,4156
27,0.7248,20715
27,0.7241,16555
27,0.7202,13027
27,0.7157,25412
27,0.7083,33255
27,0.7047,39673
27,0.6966,36920
27,0.693,156
27,0.6905,37327
27,0.6905,34951
27,0.6867,28090
27,0.6856,9798
27,0.6808,29644
27,0.6802,25284
27,0.6792,16293
27,0.6759,17202
27,0.6728,10201
27,0.6685,18490
27,0.6638,25137
27,0.6629,16121
27,0.6624,36835
27,0.6609,22329
27,0.6594,13541
27,0.6571,9240
27,0.6569,6036
27,0.6561,35558
27,0.6548,14320
27,0.652,27429
27,0.6505,37035
27,0.6478,23138
27,0.6435,6639
27,0.6418,26055
27,0.6414,28057
27,0.6361,15210
27,0.6333,20969
27,0.6264,21187
27,0.6264,29778
27,0.6258,20491
27,0.6235,28034
27,0.6233,30431
27,0.6233,33738
27,0.623,22408
27,0.6217,17885
27,0.6206,24781
28,0.8785,18914
28,0.8371,3903
28,0.8333,15528
28,0.8284,7685
28,0.8202,5309
28,0.8178,6859
28,0.816,40351
28,0.8121,28897
28,0.8118,25775
28,0.8118,34093
28,0.8106,15025
28,0.8102,17035
28,0.8089,8026
28,0.8042,392
28,0.8037,16260
28,0.7989,24071
28,0.7986,3578
28,0.7908,20309
28,0.7904,37896
28,0.7899,197
28,0.7862,18019
28,0.784,11020
28,0.7803,2108
28,0.7803,3290
28,0.7803,9211
28,0.7796,5338
28,0.7792,36468
28,0.7789,2262
28,0.7765,19326
28,0.7762,33676
28,0.7762,7469
28,0.7762,22914
28,0.7713,3659
28,0.7713,20463
28,0.7708,15707
28,0.7698,12407
28,0.7684,34823
28,0.7667,1907
28,0.7645,2309
28,0.7644,6910
28,0.7644,20112
28,0.7639,7042
28,0.7626,18416
28,0.7615,17635
28,0.7613,650
28,0.7613,847
28,0.7602,4649
28,0.7583,286
28,0.7583,20659
28,0.7552,20028
29,0.8547,1546
29,0.7883,6900
29,0.7786,385
29,0.7708,31812
29,0.7672,4316
29,0.7667,997
29,0.7464,18629
