"doc","topic","docprop","source","year"
1953,5,0.0467153284671533,"SETL",1993
1953,6,0.0102189781021898,"SETL",1993
1953,7,0.922627737226277,"SETL",1993
1953,10,0.00145985401459854,"SETL",1993
1953,11,0.0145985401459854,"SETL",1993
1954,4,0.037037037037037,"SETL",1993
1954,7,0.0185185185185185,"SETL",1993
1954,10,0.907407407407407,"SETL",1993
1954,11,0.037037037037037,"SETL",1993
1955,1,0.0489795918367347,"SETL",1993
1955,6,0.00408163265306122,"SETL",1993
1955,10,0.926530612244898,"SETL",1993
1955,11,0.0204081632653061,"SETL",1993
1956,0,0.0211267605633803,"SETL",1993
1956,1,0.00234741784037559,"SETL",1993
1956,3,0.0117370892018779,"SETL",1993
1956,4,0.00234741784037559,"SETL",1993
1956,6,0.00234741784037559,"SETL",1993
1956,7,0.823943661971831,"SETL",1993
1956,10,0.0962441314553991,"SETL",1993
1956,11,0.039906103286385,"SETL",1993
1957,1,0.0153256704980843,"SETL",1993
1957,5,0.149425287356322,"SETL",1993
1957,6,0.275862068965517,"SETL",1993
1957,7,0.478927203065134,"SETL",1993
1957,8,0.0229885057471264,"SETL",1993
1957,9,0.00383141762452107,"SETL",1993
1957,11,0.053639846743295,"SETL",1993
1958,1,0.00404858299595142,"SETL",1993
1958,3,0.00404858299595142,"SETL",1993
1958,5,0.145748987854251,"SETL",1993
1958,6,0.0364372469635627,"SETL",1993
1958,7,0.0809716599190283,"SETL",1993
1958,8,0.234817813765182,"SETL",1993
1958,9,0.469635627530364,"SETL",1993
1958,10,0.00404858299595142,"SETL",1993
1958,11,0.0202429149797571,"SETL",1993
1959,3,0.122749590834697,"SETL",1993
1959,4,0.103109656301146,"SETL",1993
1959,9,0.0016366612111293,"SETL",1993
1959,10,0.746317512274959,"SETL",1993
1959,11,0.0261865793780687,"SETL",1993
1960,0,0.00396825396825397,"SETL",1993
1960,1,0.00396825396825397,"SETL",1993
1960,4,0.0238095238095238,"SETL",1993
1960,5,0.0158730158730159,"SETL",1993
1960,7,0.456349206349206,"SETL",1993
1960,10,0.444444444444444,"SETL",1993
1960,11,0.0515873015873016,"SETL",1993
1961,0,0.00573065902578797,"SETL",1993
